Customer_ID,Last_Transaction_Date,Churned (Yes/No),Days_Since_Last_Purchase
C1000,2025-05-19,No,37
C1001,2025-05-26,No,30
C1002,2024-12-28,No,179
C1003,2024-08-14,Yes,315
C1004,2025-06-21,No,4
C1005,2024-10-30,Yes,238
C1006,2024-08-18,Yes,311
C1007,2025-05-24,No,32
C1008,2024-11-30,Yes,207
C1009,2024-09-03,Yes,295
C1010,2025-05-09,No,47
C1011,2025-04-29,No,57
C1012,2024-12-12,Yes,195
C1013,2025-02-07,No,138
C1014,2024-08-08,Yes,321
C1015,2025-06-10,No,15
C1016,2025-04-14,No,72
C1017,2025-03-06,No,111
C1018,2025-04-03,No,83
C1019,2024-07-08,Yes,352
C1020,2025-04-16,No,70
C1021,2025-01-16,No,160
C1022,2025-01-19,No,157
C1023,2024-07-22,Yes,338
C1024,2024-11-02,Yes,235
C1025,2024-10-09,Yes,259
C1026,2024-10-09,Yes,259
C1027,2025-05-30,No,26
C1028,2024-07-07,Yes,353
C1029,2024-06-29,Yes,361
C1030,2025-05-03,No,53
C1031,2024-12-07,Yes,200
C1032,2025-05-07,No,49
C1033,2024-07-30,Yes,330
C1034,2024-11-13,Yes,224
C1035,2025-06-04,No,21
C1036,2025-05-06,No,50
C1037,2024-07-05,Yes,355
C1038,2025-04-22,No,64
C1039,2025-03-03,No,114
C1040,2024-12-15,Yes,192
C1041,2025-01-01,No,175
C1042,2025-01-02,No,174
C1043,2025-03-06,No,111
C1044,2024-06-30,Yes,360
C1045,2025-06-11,No,14
C1046,2024-07-10,Yes,350
C1047,2024-10-30,Yes,238
C1048,2024-07-14,Yes,346
C1049,2025-06-09,No,16
C1050,2024-10-29,Yes,239
C1051,2025-01-24,No,152
C1052,2025-06-16,No,9
C1053,2025-05-08,No,48
C1054,2025-02-25,No,120
C1055,2025-02-05,No,140
C1056,2024-08-13,Yes,316
C1057,2024-11-05,Yes,232
C1058,2024-11-10,Yes,227
C1059,2025-06-04,No,21
C1060,2024-11-07,Yes,230
C1061,2025-06-22,No,3
C1062,2025-06-15,No,10
C1063,2024-08-15,Yes,314
C1064,2025-06-16,No,9
C1065,2025-02-25,No,120
C1066,2025-04-09,No,77
C1067,2024-11-23,Yes,214
C1068,2024-09-14,Yes,284
C1069,2025-01-24,No,152
C1070,2024-09-12,Yes,286
C1071,2024-08-27,Yes,302
C1072,2024-07-16,Yes,344
C1073,2024-09-21,Yes,277
C1074,2025-04-27,No,59
C1075,2024-11-16,Yes,221
C1076,2025-04-16,No,70
C1077,2024-11-11,Yes,226
C1078,2025-04-29,No,57
C1079,2024-11-28,Yes,209
C1080,2024-12-01,Yes,206
C1081,2025-04-30,No,56
C1082,2025-01-16,No,160
C1083,2025-06-07,No,18
C1084,2024-12-20,Yes,187
C1085,2024-10-02,Yes,266
C1086,2024-11-27,Yes,210
C1087,2025-01-03,No,173
C1088,2025-05-12,No,44
C1089,2024-12-13,Yes,194
C1090,2025-01-05,No,171
C1091,2024-10-26,Yes,242
C1092,2024-11-24,Yes,213
C1093,2025-03-22,No,95
C1094,2024-09-25,Yes,273
C1095,2024-10-02,Yes,266
C1096,2024-12-16,Yes,191
C1097,2025-02-28,No,117
C1098,2025-01-21,No,155
C1099,2024-10-18,Yes,250
C1100,2024-09-07,Yes,291
C1101,2024-07-02,Yes,358
C1102,2025-03-28,No,89
C1103,2024-10-08,Yes,260
C1104,2024-12-20,Yes,187
C1105,2024-12-17,Yes,190
C1106,2024-12-16,Yes,191
C1107,2024-07-05,Yes,355
C1108,2025-01-30,No,146
C1109,2025-04-11,No,75
C1110,2025-02-04,No,141
C1111,2025-03-09,No,108
C1112,2024-10-08,Yes,260
C1113,2024-11-25,Yes,212
C1114,2025-01-31,No,145
C1115,2025-02-25,No,120
C1116,2025-03-03,No,114
C1117,2024-11-04,Yes,233
C1118,2024-11-09,Yes,228
C1119,2025-01-20,No,156
C1120,2025-04-30,No,56
C1121,2024-09-22,Yes,276
C1122,2025-02-25,No,120
C1123,2024-12-27,No,180
C1124,2025-02-01,No,144
C1125,2025-06-14,No,11
C1126,2024-10-06,Yes,262
C1127,2024-11-06,Yes,231
C1128,2024-10-05,Yes,263
C1129,2025-05-07,No,49
C1130,2025-03-10,No,107
C1131,2025-01-24,No,152
C1132,2024-07-18,Yes,342
C1133,2025-04-01,No,85
C1134,2024-08-22,Yes,307
C1135,2024-09-27,Yes,271
C1136,2024-11-19,Yes,218
C1137,2024-07-24,Yes,336
C1138,2025-02-21,No,124
C1139,2024-11-14,Yes,223
C1140,2024-12-03,Yes,204
C1141,2025-04-24,No,62
C1142,2024-09-30,Yes,268
C1143,2025-02-12,No,133
C1144,2025-02-10,No,135
C1145,2024-10-18,Yes,250
C1146,2025-04-16,No,70
C1147,2025-05-23,No,33
C1148,2024-12-30,No,177
C1149,2025-04-26,No,60
C1150,2025-05-24,No,32
C1151,2025-01-16,No,160
C1152,2025-05-23,No,33
