Customer_ID,Gender,Age,Membership_Since,Marital_Status,Region,Income_Group
C1000,Male,50,2020-11-01,Single,London,High
C1001,Female,18,2021-07-05,Divorced,London,Medium
C1002,Male,36,2021-08-18,Single,Birmingham,Medium
C1003,Male,19,2024-02-01,Married,Leeds,Medium
C1004,Male,70,2020-10-15,Married,Leeds,Medium
C1005,Female,61,2020-11-19,Single,Liverpool,High
C1006,Male,43,2021-07-13,Divorced,London,High
C1007,Male,49,2023-03-16,Married,London,Medium
C1008,Male,23,2022-06-14,Married,Manchester,Medium
C1009,Female,49,2024-06-06,Married,Liverpool,High
C1010,Male,21,2023-05-03,Single,Manchester,Medium
C1011,Male,28,2021-07-07,Married,Manchester,Low
C1012,Male,34,2023-02-27,Divorced,Manchester,Medium
C1013,Male,55,2023-04-27,Married,Birmingham,Medium
C1014,Female,41,2024-01-20,Married,Birmingham,Low
C1015,Male,22,2023-11-15,Divorced,Manchester,Low
C1016,Female,69,2023-05-18,Married,Liverpool,High
C1017,Female,51,2023-07-11,Single,London,High
C1018,Female,23,2024-03-21,Single,Liverpool,Low
C1019,Male,39,2023-06-07,Single,Leeds,Low
C1020,Female,28,2022-05-04,Divorced,Birmingham,High
C1021,Male,65,2022-01-30,Married,London,Medium
C1022,Female,33,2022-12-19,Single,London,Low
C1023,Female,50,2020-10-02,Divorced,Leeds,High
C1024,Female,26,2020-06-25,Married,Leeds,Medium
C1025,Female,23,2024-04-20,Divorced,Manchester,Low
C1026,Female,33,2023-11-24,Single,Birmingham,Medium
C1027,Female,46,2021-09-08,Single,Birmingham,High
C1028,Female,20,2021-08-30,Single,Liverpool,Low
C1029,Female,37,2021-06-07,Divorced,Manchester,Medium
C1030,Male,53,2022-09-19,Divorced,Manchester,Low
C1031,Male,36,2023-11-26,Single,Manchester,Medium
C1032,Female,43,2022-07-11,Divorced,Manchester,High
C1033,Female,20,2022-08-02,Single,Birmingham,High
C1034,Female,36,2023-08-26,Single,Birmingham,Low
C1035,Male,37,2020-11-19,Married,Manchester,Medium
C1036,Female,49,2024-05-15,Divorced,Liverpool,Low
C1037,Male,24,2023-04-05,Single,London,Low
C1038,Male,69,2024-02-10,Single,London,Medium
C1039,Male,58,2023-12-15,Divorced,Liverpool,Medium
C1040,Male,50,2024-06-22,Married,Manchester,Medium
C1041,Male,57,2023-09-01,Married,Birmingham,High
C1042,Female,56,2024-02-26,Single,London,Low
C1043,Female,35,2024-03-07,Divorced,Leeds,Low
C1044,Female,57,2023-07-17,Married,Leeds,High
C1045,Female,18,2023-10-18,Divorced,Liverpool,Medium
C1046,Female,28,2023-12-28,Divorced,Manchester,High
C1047,Male,45,2023-10-08,Single,London,High
C1048,Female,42,2022-01-02,Married,Manchester,High
C1049,Female,67,2023-09-14,Single,London,Low
C1050,Male,40,2022-02-15,Married,Liverpool,High
C1051,Female,48,2020-10-10,Married,Liverpool,Low
C1052,Male,47,2021-10-06,Married,Leeds,Low
C1053,Female,59,2023-11-19,Married,Manchester,Low
C1054,Male,52,2021-06-09,Married,Leeds,Medium
C1055,Female,24,2021-03-01,Divorced,Manchester,Low
C1056,Female,33,2021-09-10,Single,Leeds,Low
C1057,Male,43,2021-01-28,Divorced,Birmingham,Medium
C1058,Male,65,2021-01-20,Married,Birmingham,Low
C1059,Male,69,2022-06-30,Single,Birmingham,High
C1060,Male,66,2022-10-04,Married,Birmingham,High
C1061,Male,19,2021-06-29,Single,London,Low
C1062,Male,18,2023-06-20,Divorced,Birmingham,Medium
C1063,Male,65,2022-12-26,Single,Liverpool,High
C1064,Male,29,2023-09-07,Single,Liverpool,Medium
C1065,Female,22,2022-10-01,Single,London,Medium
C1066,Female,54,2020-08-04,Single,Birmingham,High
C1067,Male,49,2024-05-10,Single,Birmingham,Medium
C1068,Female,26,2023-07-06,Married,Birmingham,High
C1069,Female,58,2023-11-21,Single,Leeds,Medium
C1070,Female,52,2020-12-28,Single,Manchester,High
