Transaction_ID,Customer_ID,Transaction_Date,Store_ID,Product_Category,Amount,Quantity,Promotion_Applied
T20000,C1011,2024-11-11,S106,Bakery,249.6,7,Yes
T20001,C1079,2025-05-26,S105,Beverages,431.22,6,Yes
T20002,C1215,2024-08-09,S101,Beverages,233.28,7,No
T20003,C1263,2024-08-26,S108,Beverages,470.27,8,No
T20004,C1148,2025-01-02,S103,Electronics,254.48,6,Yes
T20005,C1080,2024-07-05,S106,Grocery,474.85,3,No
T20006,C1214,2025-01-25,S103,Bakery,417.25,2,Yes
T20007,C1197,2024-09-27,S107,Electronics,184.4,7,Yes
T20008,C1199,2025-06-07,S107,Clothing,432.5,1,No
T20009,C1024,2025-06-09,S109,Bakery,59.48,3,Yes
T20010,C1088,2025-03-17,S105,Bakery,462.9,4,No
T20011,C1267,2024-06-28,S108,Bakery,317.66,1,No
T20012,C1142,2024-08-15,S110,Beverages,31.92,5,No
T20013,C1058,2025-05-31,S110,Bakery,323.91,10,Yes
T20014,C1025,2025-04-28,S108,Grocery,487.25,3,No
T20015,C1046,2024-08-23,S101,Bakery,39.55,2,Yes
T20016,C1287,2024-12-21,S105,Beverages,279.57,3,No
T20017,C1265,2024-07-29,S103,Bakery,375.16,8,No
T20018,C1015,2025-06-02,S101,Clothing,406.08,6,Yes
T20019,C1198,2024-10-20,S104,Clothing,209.84,7,No
T20020,C1281,2025-04-24,S108,Beverages,106.06,6,No
T20021,C1085,2025-03-01,S103,Grocery,25.96,6,Yes
T20022,C1249,2024-11-04,S110,Grocery,291.96,3,Yes
T20023,C1269,2025-01-15,S102,Electronics,229.19,8,Yes
T20024,C1116,2024-09-22,S109,Beverages,474.63,7,No
T20025,C1006,2025-04-13,S110,Bakery,35.0,7,Yes
T20026,C1136,2024-11-12,S105,Beverages,344.27,6,Yes
T20027,C1175,2024-07-08,S107,Electronics,17.36,5,No
T20028,C1214,2024-11-27,S102,Beverages,89.86,10,Yes
T20029,C1081,2025-01-17,S109,Beverages,229.52,8,No
T20030,C1222,2024-10-22,S109,Electronics,230.16,5,No
T20031,C1102,2024-07-04,S104,Grocery,344.42,9,Yes
T20032,C1272,2024-10-24,S104,Bakery,455.56,9,No
T20033,C1013,2024-09-01,S106,Electronics,321.32,1,Yes
T20034,C1158,2025-05-24,S110,Clothing,477.0,6,Yes
T20035,C1151,2025-04-11,S110,Grocery,441.4,7,Yes
T20036,C1107,2025-05-22,S110,Clothing,294.33,3,Yes
T20037,C1187,2024-10-21,S106,Grocery,417.73,7,No
T20038,C1097,2024-07-01,S101,Bakery,323.08,7,No
T20039,C1130,2024-12-03,S109,Bakery,43.89,2,Yes
T20040,C1292,2024-08-17,S102,Beverages,371.58,7,Yes
T20041,C1170,2024-10-10,S105,Clothing,51.98,1,No
T20042,C1182,2025-06-15,S109,Grocery,299.07,5,Yes
T20043,C1038,2025-04-27,S104,Bakery,352.81,9,No
T20044,C1014,2024-12-23,S103,Electronics,37.93,7,Yes
T20045,C1003,2025-03-20,S107,Bakery,119.24,7,No
T20046,C1209,2025-04-10,S106,Electronics,458.26,2,No
T20047,C1160,2025-04-30,S108,Grocery,310.08,8,No
T20048,C1015,2024-10-15,S103,Bakery,126.91,3,Yes
T20049,C1107,2025-02-18,S105,Bakery,346.89,8,Yes
T20050,C1226,2025-04-10,S110,Grocery,300.4,3,Yes
T20051,C1169,2025-01-11,S104,Bakery,253.28,10,Yes
T20052,C1033,2024-08-18,S104,Electronics,488.21,7,Yes
T20053,C1250,2025-01-04,S104,Bakery,343.31,2,No
T20054,C1246,2025-05-04,S110,Clothing,190.84,4,No
T20055,C1268,2024-09-16,S108,Beverages,401.04,6,No
T20056,C1140,2024-08-04,S106,Electronics,442.87,9,No
T20057,C1273,2024-10-08,S103,Clothing,66.98,5,No
T20058,C1095,2024-08-02,S110,Grocery,104.27,9,No
T20059,C1226,2025-05-28,S105,Electronics,112.03,5,No
T20060,C1038,2024-08-26,S106,Beverages,347.15,10,Yes
T20061,C1028,2025-01-01,S105,Beverages,303.5,8,No
T20062,C1244,2025-04-24,S106,Grocery,311.4,1,Yes
T20063,C1235,2025-01-11,S108,Grocery,470.68,7,No
T20064,C1184,2024-11-29,S107,Electronics,389.08,4,No
T20065,C1271,2025-06-24,S105,Bakery,68.33,5,Yes
T20066,C1235,2024-09-17,S110,Grocery,177.02,6,No
T20067,C1238,2025-02-18,S106,Bakery,220.52,5,Yes
T20068,C1265,2024-08-23,S104,Clothing,201.0,1,No
T20069,C1064,2025-06-14,S109,Beverages,336.31,9,Yes
T20070,C1176,2024-12-11,S104,Bakery,446.49,2,No
T20071,C1002,2025-01-18,S101,Beverages,156.5,9,Yes
T20072,C1141,2024-07-03,S107,Bakery,278.18,10,Yes
T20073,C1157,2025-04-08,S107,Clothing,395.76,2,No
T20074,C1145,2025-01-09,S104,Grocery,211.03,9,No
T20075,C1292,2024-10-10,S103,Clothing,88.22,6,Yes
T20076,C1152,2024-12-08,S108,Grocery,240.1,9,No
T20077,C1192,2024-10-26,S105,Grocery,32.34,6,Yes
T20078,C1072,2025-04-25,S110,Beverages,471.48,6,No
T20079,C1139,2025-02-11,S107,Clothing,42.04,2,Yes
T20080,C1186,2024-11-16,S104,Bakery,222.04,8,No
T20081,C1292,2024-09-15,S104,Clothing,267.29,3,Yes
T20082,C1060,2025-02-07,S108,Beverages,492.73,7,No
T20083,C1197,2024-12-05,S108,Grocery,87.18,5,Yes
T20084,C1294,2025-01-15,S102,Beverages,61.64,3,Yes
T20085,C1010,2024-12-06,S102,Electronics,9.31,1,No
T20086,C1061,2024-10-19,S103,Electronics,82.01,8,No
T20087,C1225,2025-01-10,S103,Bakery,107.6,3,Yes
T20088,C1152,2024-07-21,S101,Beverages,317.14,2,Yes
T20089,C1198,2025-03-17,S103,Bakery,113.75,1,Yes
T20090,C1051,2024-11-11,S106,Bakery,15.16,4,Yes
T20091,C1259,2025-03-12,S108,Electronics,414.18,8,No
T20092,C1058,2024-08-11,S110,Bakery,185.97,3,Yes
T20093,C1071,2024-10-08,S106,Electronics,180.08,1,Yes
T20094,C1147,2025-02-07,S105,Grocery,154.73,4,Yes
T20095,C1062,2024-11-23,S104,Beverages,487.81,9,No
T20096,C1242,2025-01-23,S103,Bakery,89.21,1,Yes
T20097,C1106,2025-02-10,S104,Electronics,449.63,2,No
T20098,C1225,2024-10-06,S107,Clothing,389.52,9,No
T20099,C1217,2024-07-03,S101,Bakery,42.86,2,No
T20100,C1240,2025-04-02,S107,Grocery,493.43,3,No
T20101,C1258,2024-08-19,S101,Grocery,139.33,7,No
T20102,C1261,2024-08-11,S102,Clothing,53.8,3,No
T20103,C1004,2025-06-05,S104,Electronics,415.51,9,No
T20104,C1260,2024-11-12,S101,Bakery,354.8,6,Yes
T20105,C1053,2025-03-27,S109,Electronics,310.52,3,Yes
T20106,C1046,2024-06-24,S106,Grocery,82.21,9,No
T20107,C1214,2024-09-18,S101,Electronics,241.86,1,Yes
T20108,C1176,2024-07-12,S101,Grocery,391.38,10,Yes
T20109,C1008,2024-09-17,S106,Electronics,155.29,3,No
T20110,C1098,2025-06-11,S104,Clothing,159.29,1,Yes
T20111,C1019,2024-12-15,S104,Beverages,6.55,2,No
T20112,C1240,2025-06-09,S106,Clothing,91.25,8,Yes
T20113,C1060,2024-07-08,S107,Clothing,438.33,7,No
T20114,C1177,2025-05-01,S109,Beverages,223.66,2,No
T20115,C1061,2025-02-02,S110,Beverages,492.2,2,Yes
T20116,C1144,2024-11-19,S105,Bakery,200.88,9,Yes
T20117,C1215,2024-07-28,S109,Bakery,359.02,6,No
T20118,C1002,2025-05-17,S104,Clothing,144.55,5,No
T20119,C1159,2024-11-12,S110,Clothing,185.09,10,No
T20120,C1226,2025-03-23,S102,Grocery,99.41,6,Yes
T20121,C1268,2025-02-09,S103,Grocery,176.8,9,Yes
T20122,C1119,2025-01-10,S101,Bakery,275.88,7,Yes
T20123,C1088,2024-07-06,S106,Bakery,495.93,10,Yes
T20124,C1067,2024-08-25,S106,Grocery,333.78,10,No
T20125,C1097,2024-07-21,S101,Grocery,103.63,9,No
T20126,C1266,2024-07-05,S103,Electronics,27.26,4,No
T20127,C1104,2024-10-08,S105,Electronics,67.55,2,No
T20128,C1122,2025-04-30,S103,Grocery,283.46,8,Yes
T20129,C1028,2024-09-12,S110,Electronics,383.75,4,No
T20130,C1136,2025-06-22,S103,Beverages,470.51,9,No
T20131,C1194,2024-12-15,S110,Bakery,12.83,4,Yes
T20132,C1225,2024-08-01,S103,Bakery,263.77,8,Yes
T20133,C1169,2024-10-17,S105,Grocery,238.08,9,No
T20134,C1008,2025-05-24,S105,Clothing,329.75,9,Yes
T20135,C1039,2025-04-20,S104,Grocery,281.99,10,No
T20136,C1024,2024-11-21,S101,Electronics,345.08,4,Yes
T20137,C1260,2024-08-20,S105,Clothing,330.75,1,Yes
T20138,C1225,2024-09-21,S110,Electronics,62.92,3,No
T20139,C1123,2025-03-17,S105,Beverages,400.86,9,Yes
T20140,C1037,2024-09-10,S104,Electronics,66.0,4,No
T20141,C1250,2025-05-01,S106,Beverages,350.77,5,Yes
T20142,C1175,2025-03-31,S110,Beverages,210.99,7,Yes
T20143,C1089,2024-07-26,S104,Electronics,259.36,5,Yes
T20144,C1036,2024-07-30,S107,Electronics,452.13,4,Yes
T20145,C1175,2024-09-16,S107,Beverages,445.49,2,Yes
T20146,C1283,2025-03-26,S102,Clothing,409.84,2,No
T20147,C1080,2025-03-13,S103,Beverages,257.52,4,Yes
T20148,C1113,2024-07-26,S101,Bakery,369.44,10,No
T20149,C1039,2025-05-27,S108,Beverages,258.88,10,Yes
T20150,C1223,2025-02-07,S109,Clothing,435.46,9,No
T20151,C1114,2025-06-04,S104,Bakery,204.37,8,Yes
T20152,C1185,2024-07-23,S106,Grocery,485.27,3,No
T20153,C1055,2024-08-08,S109,Grocery,466.5,9,No
