Customer_ID,Loyalty_Tier,Points_Earned,Points_Redeemed,Last_Redemption_Date
C1000,Platinum,2209,820,2024-09-02
C1001,Silver,6153,2821,2025-03-28
C1002,Silver,5898,1055,2025-04-10
C1003,Platinum,3178,5439,2025-01-05
C1004,Gold,8610,5932,2025-01-31
C1005,Platinum,9895,1886,2024-11-10
C1006,Silver,3544,5263,2024-11-03
C1007,Silver,6522,3547,2025-01-08
C1008,Silver,3370,2927,2024-08-30
C1009,Silver,4281,7354,2024-08-30
C1010,Gold,5710,6538,2024-09-17
C1011,Gold,1328,2504,2025-02-11
C1012,Silver,6579,2430,2024-11-03
C1013,Gold,5228,5341,2025-06-01
C1014,Gold,7794,5270,2024-07-10
C1015,Gold,1120,2663,2024-08-25
C1016,Silver,7749,7248,2024-08-15
C1017,Platinum,1964,5661,2025-01-26
C1018,Platinum,5224,4367,2024-07-21
C1019,Platinum,4675,2926,2024-11-04
C1020,Silver,6694,4293,2024-09-14
C1021,Gold,3076,7873,2024-08-20
C1022,Gold,7865,3013,2025-01-10
C1023,Silver,6643,4303,2024-06-29
C1024,Silver,9524,2827,2024-07-08
C1025,Platinum,6249,1117,2025-02-15
C1026,Platinum,2316,2665,2025-04-04
C1027,Silver,2196,3808,2025-02-02
C1028,Platinum,4170,6952,2024-08-14
C1029,Gold,1355,6743,2024-10-17
C1030,Silver,1028,6904,2025-02-07
C1031,Silver,2013,1492,2024-11-20
C1032,Gold,3024,5924,2025-03-31
C1033,Gold,9490,1877,2024-08-23
C1034,Gold,6839,4881,2025-05-23
C1035,Platinum,6791,6971,2024-08-05
C1036,Silver,1754,3674,2024-07-19
C1037,Platinum,9961,6706,2025-02-25
C1038,Gold,4735,5282,2024-10-10
C1039,Platinum,2238,1805,2025-05-17
C1040,Gold,2906,6060,2025-05-24
C1041,Platinum,8399,7960,2024-06-27
C1042,Platinum,8961,5333,2024-11-05
C1043,Gold,5601,3578,2025-03-29
C1044,Platinum,2460,3186,2025-02-22
C1045,Silver,8669,3483,2024-10-05
C1046,Platinum,2416,7759,2024-11-16
C1047,Platinum,8766,6554,2025-03-11
C1048,Silver,2428,7857,2024-11-24
C1049,Gold,5378,6490,2025-04-20
C1050,Silver,8529,3023,2025-02-28
C1051,Platinum,5474,4082,2024-08-16
C1052,Gold,4071,1985,2025-04-20
C1053,Platinum,1555,2600,2024-10-21
C1054,Platinum,9547,7397,2024-09-17
